Šifra artikla,Jedinica mjere ,Naziv artikla,Stanje zaliha,Knjigovodstveno stanje
947824,kom,RANAC MILKY KISS GRAND CHAMP.43X30X14CM NAVY,"1,000","1,000"
947825,kom,RANAC J&T WORKER 40X29X15CM GREEN,"1,000","1,000"
947826,kom,RANAC J&T WORKER 46X32X17CM GREEN,"0,000","0,000"
947827,kom,RANAC J&T WORKER 46X32X17CM GREY,"0,000","0,000"
947828,kom,RANAC J&T GO OUTSIDE 45X31X12CM BLUE,"2,000","2,000"
947829,kom,RANAC J&T GO OUTSIDE 36X24X10CM GREEN,"2,000","2,000"
947830,kom,RANAC J&T WORKER 41X31X12CM NAVY,"1,000","1,000"
947831,kom,RANAC J&T NO STRANGER THINGS 36X26X16 RED,"1,000","1,000"
947832,kom,RANAC J&T NO STRANGER THINGS 36X26X16CM PEACH,"1,000","1,000"
947833,kom,RANAC SKOOTER BADGE AND PATCH39X24X11CM BLUE,"0,000","0,000"
947834,kom,RANAC SKOOTER BADGE AND PARCH39X24X11CM GREEN,"2,000","2,000"
947835,kom,RANAC SKOOTER WILD ONES 39X24X11CM GREEN,"0,000","0,000"
947836,kom,RANAC SKOOTER WILD ONES 39X24X11CM NAVY,"0,000","0,000"
947837,kom,RANAC SKOOTER MASK OFF 39X24X11CM GREY,"2,000","2,000"
947838,kom,RANAC SKOOTER HIGH SPEED 39X24X11CM GRAY,"0,000","0,000"
947839,kom,RANAC SKOOTER HIGH SPEED 39X24X11CM NAVY,"0,000","0,000"
947840,kom,RANAC SKOOTER HIGH SPEED 39X24X11CM RED,"1,000","1,000"
947843,kom,ŠTIP.ZA PAPIR COLOR 32MM MAS 930,"54,000","54,000"
947844,kom,LEPLJIVA TRAKA 25MMX25M(MAS 2613 DVOSTRANA),"10,000","10,000"
947845,kom,KR-MUŠKA TORBA 930,"0,000","0,000"
947846,kom,KR-MUŠKA TORBA 932,"0,000","0,000"
947847,kom,KR-MUŠKA TORBA 933,"1,000","1,000"
947848,kom,KR-MUŠKA TORBA 937,"2,000","2,000"
947849,kom,KR-MUŠKA TORBA 938,"1,000","1,000"
947850,kom,KR-MUŠKA TORBA 930A,"0,000","0,000"
947852,kom,KOREKTOR U TRACI 16M 459 MAS,"47,000","47,000"
947853,kom,STALAK ZA SELOTEJP MINI 20M BLISTER MAS 631,"10,000","10,000"
947854,kom,STALAK ZA SELOTEJP 33M(UKLJUCEN SELOTEJP BIJELI19X33) MAS 633,"22,000","22,000"
947856,kom,SPAJALICE 28MM CUBBIE PREMIUM GOLD(45PCS) 1302 MAS,"0,000","0,000"
947857,kom,SPAJALICE 28MM CUBBIE PREMIUM ROSE GOLD(45PCS) 1303 MAS,"3,000","3,000"
947858,kom,ČIODE  SA GLAVOM NO:5 CUBBIE PREMIUM ROSE GOLD (25PCS)1315MAS,"1,000","1,000"
947859,kom,ČIODE SA GLAVOM ZVEZDA NO:5 CUBBIE PREMIUM GOLD MAS(20PCS),"4,000","4,000"
947860,kom,ČIODE SA GLAVOM ZVEZDA NO:5 CUBBIE PREMIUM  ROSE GOLD(20PCS)MAS,"1,000","1,000"
947862,kom,ČIODE SA GLAVOM NO:5CUBBIE PREMIUM ROSE GOLD(25PCS)1314MAS,"3,000","3,000"
947866,kom,POLICA ZA DOKUMENTA PVC 3/1(PROVIDNA)823MAS,"2,000","2,000"
947874,kom,NOTES A6,"3,000","3,000"
947885,kom,BATERIJA PANASONIC BRONZ AAA LR03,"13,000","13,000"
947886,kom,OTKUPNI BLOK A5,"0,000","0,000"
947889,kom,SG-PUHALICA RUKE,"1,000","1,000"
947890,kom,SG-IGRAČKA BEBA 995,"6,000","6,000"
